TESİS ADI;Latitude;Latitude;ADRES
ALTINBOYNUZ SOSYAL TESİSİ;410578458;289456101;Tekke Parkı Merkez Bahariye Cd. No: 16 34050 Eyüpsultan/İstanbul
ARNAVUTKÖY SOSYAL TESİSİ;41067491;290448903;Arnavutköy, Bebek Arnavutköy Cd No:72, 34345 Beşiktaş/İstanbul
AVCILAR SOSYAL TESİSİ;40976648;28743912;Denizköşkler, Dr. Sadık Ahmet Cd. Eski İETT kampı No:7, 34315 Avcılar/İstanbul
BEYKOZ KORU SOSYAL TESİSİ;411316936;290942223;Merkez, Kelle İbrahim Cd. 17/A, 34820 Beykoz/İstanbul
BEYKOZ SAHİL SOSYAL TESİSİ;411134095;290864284;PAŞABAHÇE MAHALLESİ BURUNBAHÇE MEVKİ, Barbaros Cd. NO:16, 34800 Beykoz/İstanbul
BOĞAZKÖY SOSYAL TESİSİ;41185797;28765582;Yunus Emre, Erdener Sk. No:36, 34285 Arnavutköy/İstanbul
ÇAMLICA SOSYAL TESİSİ;41027788;29069052;Kısıklı, Turistik Çamlıca Cd., 34692 Üsküdar/İstanbul
CİHANGİR SOSYAL TESİSİ;410284966;289825361;Sanatkarlar Caddesi, Kılıçalipaşa Mahallesi, Kamacı Ustası Sk. No: 1, 34433 Beyoğlu/İstanbul
DRAGOS SOSYAL TESİSİ;409013477;291466597;Orhantepe, Turgut Özal Blv. No:10, 34865 Kartal/İstanbul
FETHİPAŞA SOSYAL TESİSİ;410333739;290259101;Kuzguncuk Mahallesi Paşa Limanı Caddesi Nacak Sokak No:6 Kapı No: 14/2, 34674 Üsküdar/İstanbul
FLORYA SOSYAL TESİSİ;40960613;28807588;İtfaiye Cad. No:1 Yeşilköy Halk Pazarı Yanı Yeşilköy İtfaye Arkası Florya, 34153 Bakırköy/İstanbul
GAZİ SOSYAL TESİSİ;41101274;28916913;Zübeyde Hanım, 1481. Sk., 34260 Sultangazi/İstanbul
GÖZDAĞI SOSYAL TESİSİ;408906409;292536092;Dumlupınar, Gözdağı Tepesi No:50, 34896 Pendik/İstanbul
HALİÇ SOSYAL TESİSİ;41028283;28957092;Abdülezel Paşa Cad. Kadir Has Üniversitesi Karşısı Fatih, 34083 Fatih/İstanbul
İSTİNYE SOSYAL TESİSİ;411147873;290549822;İstinye, Emirgan Koru Cd. No:108, 34467 Sarıyer/İstanbul
KASIMPAŞA SOSYAL TESİSİ;410299569;289667688;Bedrettin, Evliya Çelebi Cd. No:4, 34440 Beyoğlu/İstanbul
KÜÇÜK ÇAMLICA SOSYAL TESİSİ;41016344;29064013;KÜÇÜK ÇAMLICA MAHALLESİ, OYMA SOKAK NO:3 PK.34696 ÜSKÜDAR
KÜÇÜKÇEKMECE SOSYAL TESİSİ;409998227;28765311;Fatih Mahallesi Yalı Caddesi, Altın Sk. No:16, 34290 Küçükçekmece/İstanbul
SAFA TEPESİ SOSYAL TESİSİ;410137496;292547994;Yunus Emre Mah., Mevlana Cd. No:69, 34791 Sancaktepe/İstanbul
SULTANBEYLİ SOSYAL TESİSİ;40954071;29276533;Sultanbeyli Gölet Sosyal Tesisleri, Fatih mh. Antalya cad. Beşiroğlu Sk No.32 sultanbeyli, 34920 Sultanbeyli/İstanbul
YAKUPLU SOSYAL TESİSİ;410036611;286677748;Güzelyurt, Mehmet Akif Ersoy Cd. No:20/1, 34524 Esenyurt/İstanbul
BEYKOZ KIR BAHÇESİ SOSYAL TESİSİ;41134419;29100600;MERKEZ MAHALLESİ, KELLE İBRAHİM CADDESİ, NO:17/A BEYKOZ 
PEMBE KÖŞK SOSYAL TESİSİ;41109894;29056970;Emirgan, Emirgan Korusu İçi Yolu No:3, 34467 Sarıyer/İstanbul
KIR KAHVESİ SOSYAL TESİSİ;410479649;290131607;YİLDİZ MAHALLESİ, YILDIZ CADDESİ NO: 62 P.K. 34349 BEŞİKTAŞ 
PAŞALİMANI SOSYAL TESİSİ;41032235;29022992;KUZGUNCUK MAHALLESİ, PAŞALİMANI CADDESİ,(512 ADA 43 PARSEL) ÜSKÜDAR/İSTANBUL 
FLORYA YERLEŞİM BİRİMLERİ;40971945;28788689;BASINKÖY, İTFAİYE CAD. NO:1, 34153 BAKIRKÖY
ZEYTİNBURNU SOSYAL TESİSİ;409850535;28906515;KAZLIÇEŞME, BEŞKARDEŞLER SK. NO:12, 34020 ZEYTİNBURNU
1453 ÇIRPICI SOSYAL TESİSİ;410003203;288892505;ÇIRPICI ŞEHİR PARKI OSMANİYE MAHALLESİ KOŞUYOLU SOKAK NO:18 BAKIRKÖY
DENİZKÖŞK SOSYAL TESİSİ;40974184;28743431;Denizköşkler, Kemal Sunal Cd. No:38, 34315 Avcılar/İstanbul
GÜNGÖREN SOSYAL TESİSİ;410363577;28871629;Gençosman mahallesi, Doğanbey caddesi, Gençosman, Akyıldız Sk. no:94, 34200 Güngören/İstanbul